Dataset,Classifier,Balancing,FeatureSelection,Iteration,Fold,Precision,Recall,AUC,Kappa,NPofB20
AVRO,IBk,Oversampling,None,8,2,0.7333,1.0000,0.9893,0.8348,1.0000
AVRO,IBk,Oversampling,None,8,3,0.7000,0.7000,0.8885,0.6828,0.7000
AVRO,IBk,Oversampling,None,8,4,0.4706,0.7273,0.8723,0.5379,0.7273
AVRO,IBk,Oversampling,None,8,5,0.5714,0.7273,0.9351,0.6142,0.9091
AVRO,IBk,Oversampling,None,8,6,0.6667,0.7273,0.9091,0.6754,0.7273
AVRO,IBk,Oversampling,None,8,7,0.6250,0.9091,0.9369,0.7210,0.9091
AVRO,IBk,Oversampling,None,8,8,0.7333,1.0000,0.9903,0.8348,1.0000
AVRO,IBk,Oversampling,None,8,9,0.7692,0.9091,0.9461,0.8218,0.9091
AVRO,IBk,Oversampling,None,8,10,0.6923,0.8182,0.8534,0.7327,0.8182
AVRO,IBk,Oversampling,None,9,1,0.6429,0.8182,0.8971,0.7000,0.8182
AVRO,IBk,Oversampling,None,9,2,0.8000,0.7273,0.9148,0.7476,0.7273
AVRO,IBk,Oversampling,None,9,3,0.7143,1.0000,0.9902,0.8221,1.0000
AVRO,IBk,Oversampling,None,9,4,0.5882,0.9091,0.9869,0.6919,0.9091
AVRO,IBk,Oversampling,None,9,5,0.5625,0.8182,0.8939,0.6412,0.8182
AVRO,IBk,Oversampling,None,9,6,0.6667,0.7273,0.9146,0.6754,0.7273
AVRO,IBk,Oversampling,None,9,7,0.7143,0.9091,0.9695,0.7856,0.9091
AVRO,IBk,Oversampling,None,9,8,0.7000,0.6364,0.9141,0.6465,0.6364
AVRO,IBk,Oversampling,None,9,9,0.5263,0.9091,0.9616,0.6394,1.0000
AVRO,IBk,Oversampling,None,9,10,0.8182,0.8182,0.9264,0.8066,0.8182
AVRO,IBk,Oversampling,None,10,1,0.7692,0.9091,0.9820,0.8219,1.0000
AVRO,IBk,Oversampling,None,10,2,0.6667,0.9091,0.9224,0.7522,0.9091
AVRO,IBk,Oversampling,None,10,3,0.6000,0.9000,0.9836,0.7005,0.9000
AVRO,IBk,Oversampling,None,10,4,0.7692,0.9091,0.9900,0.8218,0.9091
AVRO,IBk,Oversampling,None,10,5,0.7000,0.6364,0.8923,0.6465,0.7273
AVRO,IBk,Oversampling,None,10,6,0.8333,0.9091,0.9716,0.8609,0.9091
AVRO,IBk,Oversampling,None,10,7,0.6923,0.8182,0.9764,0.7327,0.9091
AVRO,IBk,Oversampling,None,10,8,0.8000,0.7273,0.9057,0.7475,0.8182
AVRO,IBk,Oversampling,None,10,9,0.5625,0.8182,0.9467,0.6412,0.8182
AVRO,IBk,Oversampling,None,10,10,0.4348,0.9091,0.9553,0.5520,0.9091
AVRO,IBk,SMOTE,None,1,1,0.8333,0.9091,0.9864,0.8609,1.0000
AVRO,IBk,SMOTE,None,1,2,0.7778,0.6364,0.9410,0.6830,0.7273
AVRO,IBk,SMOTE,None,1,3,0.6667,1.0000,0.9943,0.7860,1.0000
AVRO,IBk,SMOTE,None,1,4,0.8333,0.4545,0.9472,0.5701,0.8182
AVRO,IBk,SMOTE,None,1,5,0.7692,0.9091,0.9819,0.8218,0.9091
AVRO,IBk,SMOTE,None,1,6,1.0000,0.6364,0.9682,0.7669,0.7273
AVRO,IBk,SMOTE,None,1,7,1.0000,0.8182,0.9538,0.8943,0.8182
AVRO,IBk,SMOTE,None,1,8,1.0000,0.8182,0.9898,0.8943,0.9091
AVRO,IBk,SMOTE,None,1,9,0.7000,0.6364,0.9207,0.6465,0.6364
AVRO,IBk,SMOTE,None,1,10,0.6250,0.9091,0.9821,0.7210,1.0000
AVRO,IBk,SMOTE,None,2,1,0.8889,0.7273,0.9120,0.7887,0.7273
AVRO,IBk,SMOTE,None,2,2,0.5385,0.6364,0.9336,0.5546,0.7273
AVRO,IBk,SMOTE,None,2,3,0.9000,0.9000,0.9874,0.8943,1.0000
AVRO,IBk,SMOTE,None,2,4,0.9000,0.8182,0.9635,0.8485,0.9091
AVRO,IBk,SMOTE,None,2,5,0.7692,0.9091,0.9645,0.8218,0.9091
AVRO,IBk,SMOTE,None,2,6,0.7857,1.0000,0.9976,0.8714,1.0000
AVRO,IBk,SMOTE,None,2,7,0.5882,0.9091,0.9580,0.6919,0.9091
AVRO,IBk,SMOTE,None,2,8,0.7273,0.7273,0.8818,0.7099,0.7273
AVRO,IBk,SMOTE,None,2,9,0.8889,0.7273,0.9682,0.7886,0.9498
AVRO,IBk,SMOTE,None,2,10,0.7778,0.6364,0.9674,0.6829,0.7273
AVRO,IBk,SMOTE,None,3,1,0.8333,0.9091,0.9882,0.8609,0.9091
AVRO,IBk,SMOTE,None,3,2,0.8889,0.7273,0.9642,0.7887,1.0000
AVRO,IBk,SMOTE,None,3,3,0.8182,0.9000,0.9672,0.8485,0.9000
AVRO,IBk,SMOTE,None,3,4,0.6667,0.7273,0.9267,0.6754,0.8182
AVRO,IBk,SMOTE,None,3,5,0.7000,0.6364,0.9256,0.6465,0.8182
AVRO,IBk,SMOTE,None,3,6,1.0000,0.8182,0.9890,0.8943,1.0000
AVRO,IBk,SMOTE,None,3,7,0.7143,0.9091,0.9543,0.7856,0.9091
AVRO,IBk,SMOTE,None,3,8,0.7143,0.9091,0.9735,0.7856,0.9091
AVRO,IBk,SMOTE,None,3,9,0.8889,0.7273,0.9632,0.7886,0.8182
AVRO,IBk,SMOTE,None,3,10,0.8182,0.8182,0.9748,0.8066,0.8182
AVRO,IBk,SMOTE,None,4,1,0.8333,0.9091,0.9540,0.8609,0.9091
AVRO,IBk,SMOTE,None,4,2,0.6429,0.8182,0.9809,0.7000,0.9091
AVRO,IBk,SMOTE,None,4,3,1.0000,0.5000,0.9267,0.6541,0.9000
AVRO,IBk,SMOTE,None,4,4,0.7143,0.4545,0.9096,0.5339,0.4545
AVRO,IBk,SMOTE,None,4,5,0.8182,0.8182,0.9758,0.8066,0.8182
AVRO,IBk,SMOTE,None,4,6,0.7333,1.0000,0.9947,0.8348,1.0000
AVRO,IBk,SMOTE,None,4,7,0.7778,0.6364,0.9170,0.6829,0.7273
AVRO,IBk,SMOTE,None,4,8,0.9091,0.9091,0.9850,0.9033,0.9091
AVRO,IBk,SMOTE,None,4,9,0.7000,0.6364,0.9640,0.6465,1.0000
AVRO,IBk,SMOTE,None,4,10,0.8462,1.0000,0.9968,0.9109,1.0000
AVRO,IBk,SMOTE,None,5,1,1.0000,0.8182,0.9781,0.8943,0.8182
AVRO,IBk,SMOTE,None,5,2,0.6875,1.0000,0.9948,0.8008,1.0000
AVRO,IBk,SMOTE,None,5,3,0.8000,0.8000,0.9713,0.7885,0.8000
AVRO,IBk,SMOTE,None,5,4,1.0000,0.8182,0.9779,0.8943,0.9091
AVRO,IBk,SMOTE,None,5,5,0.8000,0.7273,0.9640,0.7475,0.8182
AVRO,IBk,SMOTE,None,5,6,0.8182,0.8182,0.9769,0.8066,0.8182
AVRO,IBk,SMOTE,None,5,7,0.6923,0.8182,0.9695,0.7327,0.9091
AVRO,IBk,SMOTE,None,5,8,0.8000,0.7273,0.9398,0.7475,0.8182
AVRO,IBk,SMOTE,None,5,9,0.8000,0.7273,0.9580,0.7475,0.8182
AVRO,IBk,SMOTE,None,5,10,0.8000,0.7273,0.9128,0.7475,0.7273
AVRO,IBk,SMOTE,None,6,1,0.8000,0.7273,0.9666,0.7476,0.9797
AVRO,IBk,SMOTE,None,6,2,0.9091,0.9091,0.9869,0.9033,0.9091
AVRO,IBk,SMOTE,None,6,3,0.8333,0.5000,0.8876,0.6091,0.7000
AVRO,IBk,SMOTE,None,6,4,0.8000,0.7273,0.9611,0.7475,0.9091
AVRO,IBk,SMOTE,None,6,5,0.8182,0.8182,0.9446,0.8066,0.8182
AVRO,IBk,SMOTE,None,6,6,0.5333,0.7273,0.9535,0.5869,0.8182
AVRO,IBk,SMOTE,None,6,7,0.9091,0.9091,0.9892,0.9033,0.9091
AVRO,IBk,SMOTE,None,6,8,0.6667,0.5455,0.9128,0.5773,0.9091
AVRO,IBk,SMOTE,None,6,9,0.7143,0.9091,0.9632,0.7856,0.9091
AVRO,IBk,SMOTE,None,6,10,0.7500,0.8182,0.9125,0.7681,0.8182
AVRO,IBk,SMOTE,None,7,1,0.9091,0.9091,0.9896,0.9033,0.9091
AVRO,IBk,SMOTE,None,7,2,0.8889,0.7273,0.9261,0.7887,0.7273
AVRO,IBk,SMOTE,None,7,3,0.7778,0.7000,0.9730,0.7226,0.9000
AVRO,IBk,SMOTE,None,7,4,0.6667,0.7273,0.9472,0.6754,0.9091
AVRO,IBk,SMOTE,None,7,5,0.9091,0.9091,0.9869,0.9033,0.9091
AVRO,IBk,SMOTE,None,7,6,1.0000,0.7273,0.9149,0.8337,0.7273
AVRO,IBk,SMOTE,None,7,7,0.8000,0.7273,0.9711,0.7475,0.8182
AVRO,IBk,SMOTE,None,7,8,0.6250,0.9091,0.9490,0.7210,0.9091
AVRO,IBk,SMOTE,None,7,9,0.7273,0.7273,0.9590,0.7099,0.8182
AVRO,IBk,SMOTE,None,7,10,0.6667,0.9091,0.9792,0.7521,1.0000
AVRO,IBk,SMOTE,None,8,1,0.6000,0.5455,0.9060,0.5457,0.8182
AVRO,IBk,SMOTE,None,8,2,0.8333,0.9091,0.9958,0.8609,1.0000
AVRO,IBk,SMOTE,None,8,3,0.8750,0.7000,0.9273,0.7665,0.7000
AVRO,IBk,SMOTE,None,8,4,0.6667,0.7273,0.9390,0.6754,0.7273
AVRO,IBk,SMOTE,None,8,5,0.6667,0.7273,0.9574,0.6754,0.9091
AVRO,IBk,SMOTE,None,8,6,0.8571,0.5455,0.9109,0.6504,0.5455
AVRO,IBk,SMOTE,None,8,7,0.7143,0.9091,0.9101,0.7856,0.9091
AVRO,IBk,SMOTE,None,8,8,0.9167,1.0000,0.9987,0.9536,1.0000
AVRO,IBk,SMOTE,None,8,9,0.9091,0.9091,0.9898,0.9033,0.9091
AVRO,IBk,SMOTE,None,8,10,0.7500,0.8182,0.8639,0.7681,0.8182
AVRO,IBk,SMOTE,None,9,1,0.6923,0.8182,0.9188,0.7328,0.8182
AVRO,IBk,SMOTE,None,9,2,0.8889,0.7273,0.9493,0.7887,0.7273
AVRO,IBk,SMOTE,None,9,3,0.7143,1.0000,0.9908,0.8221,1.0000
AVRO,IBk,SMOTE,None,9,4,0.7692,0.9091,0.9837,0.8218,0.9091
AVRO,IBk,SMOTE,None,9,5,0.8182,0.8182,0.9695,0.8066,0.9091
AVRO,IBk,SMOTE,None,9,6,0.7273,0.7273,0.9330,0.7099,0.8182
AVRO,IBk,SMOTE,None,9,7,0.9000,0.8182,0.9758,0.8485,0.9091
AVRO,IBk,SMOTE,None,9,8,0.7778,0.6364,0.9569,0.6829,0.6364
AVRO,IBk,SMOTE,None,9,9,0.6667,0.9091,0.9834,0.7521,1.0000
AVRO,IBk,SMOTE,None,9,10,1.0000,0.6364,0.9559,0.7669,0.7273
AVRO,IBk,SMOTE,None,10,1,1.0000,0.7273,0.9791,0.8338,0.9091
AVRO,IBk,SMOTE,None,10,2,0.7692,0.9091,0.9553,0.8219,0.9091
AVRO,IBk,SMOTE,None,10,3,0.7500,0.9000,0.9810,0.8067,0.9000
AVRO,IBk,SMOTE,None,10,4,0.9000,0.8182,0.9598,0.8485,0.8182
AVRO,IBk,SMOTE,None,10,5,0.8750,0.6364,0.9503,0.7229,0.8182
AVRO,IBk,SMOTE,None,10,6,0.9000,0.8182,0.9877,0.8485,1.0000
AVRO,IBk,SMOTE,None,10,7,0.9000,0.8182,0.9792,0.8485,0.9091
AVRO,IBk,SMOTE,None,10,8,1.0000,0.7273,0.9532,0.8337,0.8182
AVRO,IBk,SMOTE,None,10,9,0.8889,0.7273,0.9679,0.7886,0.8182
AVRO,IBk,SMOTE,None,10,10,0.5556,0.9091,0.9351,0.6648,0.9091
AVRO,IBk,None,InfoGain,1,1,0.7143,0.9091,0.9830,0.7857,1.0000
AVRO,IBk,None,InfoGain,1,2,0.8750,0.6364,0.9438,0.7230,0.7434
AVRO,IBk,None,InfoGain,1,3,0.6250,1.0000,0.9931,0.7527,1.0000
AVRO,IBk,None,InfoGain,1,4,0.8571,0.5455,0.9556,0.6504,0.8182
AVRO,IBk,None,InfoGain,1,5,0.7692,0.9091,0.9821,0.8218,0.9091
AVRO,IBk,None,InfoGain,1,6,1.0000,0.6364,0.9590,0.7669,0.6364
AVRO,IBk,None,InfoGain,1,7,1.0000,0.7273,0.9312,0.8337,0.7273
AVRO,IBk,None,InfoGain,1,8,0.9000,0.8182,0.9753,0.8485,0.9091
AVRO,IBk,None,InfoGain,1,9,0.7000,0.6364,0.9233,0.6465,0.6364
AVRO,IBk,None,InfoGain,1,10,0.6250,0.9091,0.9824,0.7210,1.0000
AVRO,IBk,None,InfoGain,2,1,0.8889,0.7273,0.9261,0.7887,0.7273
AVRO,IBk,None,InfoGain,2,2,0.5833,0.6364,0.9399,0.5828,0.7273
AVRO,IBk,None,InfoGain,2,3,0.9000,0.9000,0.9868,0.8943,1.0000
AVRO,IBk,None,InfoGain,2,4,1.0000,0.7273,0.9540,0.8337,0.8182
AVRO,IBk,None,InfoGain,2,5,0.8182,0.8182,0.9564,0.8066,0.8182
AVRO,IBk,None,InfoGain,2,6,0.8462,1.0000,0.9984,0.9109,1.0000
AVRO,IBk,None,InfoGain,2,7,0.6923,0.8182,0.9603,0.7327,0.9091
AVRO,IBk,None,InfoGain,2,8,0.7273,0.7273,0.8818,0.7099,0.7273
AVRO,IBk,None,InfoGain,2,9,0.8000,0.7273,0.9643,0.7475,0.9498
AVRO,IBk,None,InfoGain,2,10,1.0000,0.6364,0.9622,0.7669,0.6364
AVRO,IBk,None,InfoGain,3,1,0.9091,0.9091,0.9898,0.9033,0.9091
AVRO,IBk,None,InfoGain,3,2,0.8889,0.7273,0.9642,0.7887,1.0000
AVRO,IBk,None,InfoGain,3,3,0.8182,0.9000,0.9684,0.8485,0.9000
AVRO,IBk,None,InfoGain,3,4,0.6667,0.7273,0.9291,0.6754,0.7964
AVRO,IBk,None,InfoGain,3,5,0.7000,0.6364,0.9146,0.6465,0.7273
AVRO,IBk,None,InfoGain,3,6,1.0000,0.8182,0.9890,0.8943,1.0000
AVRO,IBk,None,InfoGain,3,7,0.8182,0.8182,0.9472,0.8066,0.8182
AVRO,IBk,None,InfoGain,3,8,1.0000,0.9091,0.9758,0.9495,0.9091
AVRO,IBk,None,InfoGain,3,9,0.8889,0.7273,0.9640,0.7886,0.8182
AVRO,IBk,None,InfoGain,3,10,0.7273,0.7273,0.9645,0.7099,0.8182
AVRO,IBk,None,InfoGain,4,1,0.7692,0.9091,0.9522,0.8219,0.9091
AVRO,IBk,None,InfoGain,4,2,0.7500,0.8182,0.9770,0.7682,0.9091
AVRO,IBk,None,InfoGain,4,3,1.0000,0.5000,0.9336,0.6541,0.9000
AVRO,IBk,None,InfoGain,4,4,0.8000,0.3636,0.9065,0.4806,0.4545
AVRO,IBk,None,InfoGain,4,5,0.8182,0.8182,0.9758,0.8066,0.8182
AVRO,IBk,None,InfoGain,4,6,0.7857,1.0000,0.9961,0.8714,1.0000
AVRO,IBk,None,InfoGain,4,7,0.7500,0.5455,0.9086,0.6120,0.6364
AVRO,IBk,None,InfoGain,4,8,0.9091,0.9091,0.9858,0.9033,0.9851
AVRO,IBk,None,InfoGain,4,9,0.7000,0.6364,0.9640,0.6465,1.0000
AVRO,IBk,None,InfoGain,4,10,0.7692,0.9091,0.9834,0.8218,0.9091
AVRO,IBk,None,InfoGain,5,1,1.0000,0.8182,0.9760,0.8943,0.8182
AVRO,IBk,None,InfoGain,5,2,0.6875,1.0000,0.9948,0.8008,1.0000
AVRO,IBk,None,InfoGain,5,3,0.8889,0.8000,0.9724,0.8335,0.8000
AVRO,IBk,None,InfoGain,5,4,1.0000,0.8182,0.9779,0.8943,0.9091
AVRO,IBk,None,InfoGain,5,5,0.8889,0.7273,0.9658,0.7886,0.8182
AVRO,IBk,None,InfoGain,5,6,0.6923,0.8182,0.9716,0.7327,0.8182
AVRO,IBk,None,InfoGain,5,7,0.7273,0.7273,0.9553,0.7099,0.7273
AVRO,IBk,None,InfoGain,5,8,0.8000,0.7273,0.9390,0.7475,0.8182
AVRO,IBk,None,InfoGain,5,9,0.7778,0.6364,0.9443,0.6829,0.7273
AVRO,IBk,None,InfoGain,5,10,0.8750,0.6364,0.9046,0.7229,0.7273
AVRO,IBk,None,InfoGain,6,1,0.8889,0.7273,0.9700,0.7887,1.0000
AVRO,IBk,None,InfoGain,6,2,0.9091,0.9091,0.9869,0.9033,0.9091
AVRO,IBk,None,InfoGain,6,3,0.8333,0.5000,0.8876,0.6091,0.7000
AVRO,IBk,None,InfoGain,6,4,0.6667,0.7273,0.9438,0.6754,0.8182
AVRO,IBk,None,InfoGain,6,5,0.8182,0.8182,0.9448,0.8066,0.8182
AVRO,IBk,None,InfoGain,6,6,0.6667,0.7273,0.9609,0.6754,0.8182
AVRO,IBk,None,InfoGain,6,7,0.8333,0.9091,0.9887,0.8609,0.9091
AVRO,IBk,None,InfoGain,6,8,0.6667,0.7273,0.9622,0.6754,0.9091
AVRO,IBk,None,InfoGain,6,9,0.7143,0.9091,0.9622,0.7856,0.9091
AVRO,IBk,None,InfoGain,6,10,0.8000,0.7273,0.8534,0.7475,0.7273
AVRO,IBk,None,InfoGain,7,1,0.9091,0.9091,0.9898,0.9033,0.9091
AVRO,IBk,None,InfoGain,7,2,0.8889,0.7273,0.9245,0.7887,0.7273
AVRO,IBk,None,InfoGain,7,3,0.7778,0.7000,0.9592,0.7226,0.9000
AVRO,IBk,None,InfoGain,7,4,0.6667,0.7273,0.9451,0.6754,0.9091
AVRO,IBk,None,InfoGain,7,5,0.9091,0.9091,0.9869,0.9033,0.9091
AVRO,IBk,None,InfoGain,7,6,1.0000,0.7273,0.9164,0.8337,0.7273
AVRO,IBk,None,InfoGain,7,7,0.8000,0.7273,0.9451,0.7475,0.8182
AVRO,IBk,None,InfoGain,7,8,0.5333,0.7273,0.9259,0.5869,0.8182
AVRO,IBk,None,InfoGain,7,9,0.8889,0.7273,0.9630,0.7886,0.8182
AVRO,IBk,None,InfoGain,7,10,0.7143,0.9091,0.9777,0.7856,1.0000
AVRO,IBk,None,InfoGain,8,1,0.6667,0.5455,0.9073,0.5774,0.8182
AVRO,IBk,None,InfoGain,8,2,0.8182,0.8182,0.9786,0.8067,0.9091
AVRO,IBk,None,InfoGain,8,3,0.8750,0.7000,0.9279,0.7665,0.7000
AVRO,IBk,None,InfoGain,8,4,0.8000,0.7273,0.9453,0.7475,0.7273
AVRO,IBk,None,InfoGain,8,5,0.7273,0.7273,0.9616,0.7099,1.0000
AVRO,IBk,None,InfoGain,8,6,0.7500,0.5455,0.9109,0.6120,0.5455
AVRO,IBk,None,InfoGain,8,7,0.7143,0.9091,0.9112,0.7856,0.9091
AVRO,IBk,None,InfoGain,8,8,0.8333,0.9091,0.9879,0.8609,0.9091
AVRO,IBk,None,InfoGain,8,9,0.9091,0.9091,0.9900,0.9033,0.9091
AVRO,IBk,None,InfoGain,8,10,0.7500,0.8182,0.9937,0.7681,1.0000
AVRO,IBk,None,InfoGain,9,1,0.6154,0.7273,0.9062,0.6437,0.7273
AVRO,IBk,None,InfoGain,9,2,1.0000,0.6364,0.9444,0.7670,0.7273
AVRO,IBk,None,InfoGain,9,3,0.6667,1.0000,0.9862,0.7860,1.0000
AVRO,IBk,None,InfoGain,9,4,0.7692,0.9091,0.9850,0.8218,0.9091
AVRO,IBk,None,InfoGain,9,5,0.5625,0.8182,0.9572,0.6412,0.9091
AVRO,IBk,None,InfoGain,9,6,0.8000,0.7273,0.9333,0.7475,0.8182
AVRO,IBk,None,InfoGain,9,7,0.8889,0.7273,0.9703,0.7886,0.8182
AVRO,IBk,None,InfoGain,9,8,0.7778,0.6364,0.9580,0.6829,0.6364
AVRO,IBk,None,InfoGain,9,9,0.7143,0.9091,0.9848,0.7856,1.0000
AVRO,IBk,None,InfoGain,9,10,1.0000,0.6364,0.9432,0.7669,0.7273
AVRO,IBk,None,InfoGain,10,1,1.0000,0.7273,0.9786,0.8338,0.9091
AVRO,IBk,None,InfoGain,10,2,0.7143,0.9091,0.9551,0.7857,0.9091
AVRO,IBk,None,InfoGain,10,3,0.7500,0.9000,0.9799,0.8067,0.9000
AVRO,IBk,None,InfoGain,10,4,1.0000,0.7273,0.9488,0.8337,0.7273
AVRO,IBk,None,InfoGain,10,5,1.0000,0.6364,0.9569,0.7669,0.8182
AVRO,IBk,None,InfoGain,10,6,0.9000,0.8182,0.9774,0.8485,1.0000
AVRO,IBk,None,InfoGain,10,7,0.8889,0.7273,0.9711,0.7886,0.8182
AVRO,IBk,None,InfoGain,10,8,1.0000,0.7273,0.9530,0.8337,0.8182
AVRO,IBk,None,InfoGain,10,9,0.8000,0.7273,0.9672,0.7475,0.8182
AVRO,IBk,None,InfoGain,10,10,0.5333,0.7273,0.9117,0.5869,0.7273
AVRO,IBk,Undersampling,InfoGain,1,1,0.2619,1.0000,0.9357,0.3542,0.7273
AVRO,IBk,Undersampling,InfoGain,1,2,0.2000,0.6364,0.7419,0.2351,0.3636
AVRO,IBk,Undersampling,InfoGain,1,3,0.2041,1.0000,0.9264,0.2734,0.5000
AVRO,IBk,Undersampling,InfoGain,1,4,0.1860,0.7273,0.7328,0.2222,0.7049
AVRO,IBk,Undersampling,InfoGain,1,5,0.2000,1.0000,0.8852,0.2596,0.8182
AVRO,IBk,Undersampling,InfoGain,1,6,0.1707,0.6364,0.7433,0.1932,0.5455
AVRO,IBk,Undersampling,InfoGain,1,7,0.2558,1.0000,0.8944,0.3451,0.5677
AVRO,IBk,Undersampling,InfoGain,1,8,0.2500,0.9091,0.8946,0.3293,0.5916
AVRO,IBk,Undersampling,InfoGain,1,9,0.2727,0.8182,0.8523,0.3509,0.8182
AVRO,IBk,Undersampling,InfoGain,1,10,0.2041,0.9091,0.9007,0.2612,0.6364
AVRO,IBk,Undersampling,InfoGain,2,1,0.2195,0.8182,0.8508,0.2785,0.6725
AVRO,IBk,Undersampling,InfoGain,2,2,0.1475,0.8182,0.7986,0.1660,0.3636
AVRO,IBk,Undersampling,InfoGain,2,3,0.1786,1.0000,0.9098,0.2322,0.7000
AVRO,IBk,Undersampling,InfoGain,2,4,0.2143,0.8182,0.8098,0.2705,0.6364
AVRO,IBk,Undersampling,InfoGain,2,5,0.2128,0.9091,0.8592,0.2745,0.5455
AVRO,IBk,Undersampling,InfoGain,2,6,0.1803,1.0000,0.9204,0.2273,0.6364
AVRO,IBk,Undersampling,InfoGain,2,7,0.1818,0.9091,0.8526,0.2259,0.8182
AVRO,IBk,Undersampling,InfoGain,2,8,0.2045,0.8182,0.8332,0.2561,0.5315
AVRO,IBk,Undersampling,InfoGain,2,9,0.2273,0.9091,0.8736,0.2963,0.8182
AVRO,IBk,Undersampling,InfoGain,2,10,0.2326,0.9091,0.8671,0.3041,0.9006
AVRO,IBk,Undersampling,InfoGain,3,1,0.2222,0.9091,0.8885,0.2892,0.8182
AVRO,IBk,Undersampling,InfoGain,3,2,0.1957,0.8182,0.8399,0.2432,0.8182
AVRO,IBk,Undersampling,InfoGain,3,3,0.1961,1.0000,0.9216,0.2607,0.9000
AVRO,IBk,Undersampling,InfoGain,3,4,0.1923,0.9091,0.8502,0.2427,0.5455
AVRO,IBk,Undersampling,InfoGain,3,5,0.1475,0.8182,0.7993,0.1655,0.5455
AVRO,IBk,Undersampling,InfoGain,3,6,0.2439,0.9091,0.8852,0.3206,0.7075
AVRO,IBk,Undersampling,InfoGain,3,7,0.2157,1.0000,0.9259,0.2845,0.6364
AVRO,IBk,Undersampling,InfoGain,3,8,0.1923,0.9091,0.9067,0.2427,0.4545
AVRO,IBk,Undersampling,InfoGain,3,9,0.1923,0.9091,0.8434,0.2427,0.3636
AVRO,IBk,Undersampling,InfoGain,3,10,0.2326,0.9091,0.8928,0.3041,0.7273
AVRO,IBk,Undersampling,InfoGain,4,1,0.2041,0.9091,0.9026,0.2616,0.6784
AVRO,IBk,Undersampling,InfoGain,4,2,0.2041,0.9091,0.8783,0.2616,0.3636
AVRO,IBk,Undersampling,InfoGain,4,3,0.1707,0.7000,0.7647,0.2050,0.7000
AVRO,IBk,Undersampling,InfoGain,4,4,0.1892,0.6364,0.7291,0.2198,0.6364
AVRO,IBk,Undersampling,InfoGain,4,5,0.2326,0.9091,0.8917,0.3041,0.9091
AVRO,IBk,Undersampling,InfoGain,4,6,0.2037,1.0000,0.9264,0.2655,0.5455
AVRO,IBk,Undersampling,InfoGain,4,7,0.1600,0.7273,0.7730,0.1821,0.4547
AVRO,IBk,Undersampling,InfoGain,4,8,0.2340,1.0000,0.9054,0.3127,0.9091
AVRO,IBk,Undersampling,InfoGain,4,9,0.1636,0.8182,0.8135,0.1922,0.6364
AVRO,IBk,Undersampling,InfoGain,4,10,0.3030,0.9091,0.9004,0.4008,0.5455
AVRO,IBk,Undersampling,InfoGain,5,1,0.1774,1.0000,0.9099,0.2229,0.6364
AVRO,IBk,Undersampling,InfoGain,5,2,0.1964,1.0000,0.9240,0.2542,0.8182
AVRO,IBk,Undersampling,InfoGain,5,3,0.1961,1.0000,0.9040,0.2607,0.7000
AVRO,IBk,Undersampling,InfoGain,5,4,0.2439,0.9091,0.8862,0.3206,0.8260
AVRO,IBk,Undersampling,InfoGain,5,5,0.1818,0.9091,0.8731,0.2259,0.6364
AVRO,IBk,Undersampling,InfoGain,5,6,0.2558,1.0000,0.8962,0.3451,0.6643
AVRO,IBk,Undersampling,InfoGain,5,7,0.1754,0.9091,0.8387,0.2155,0.6364
AVRO,IBk,Undersampling,InfoGain,5,8,0.2381,0.9091,0.8912,0.3122,0.5455
AVRO,IBk,Undersampling,InfoGain,5,9,0.2000,0.8182,0.8119,0.2493,0.6364
AVRO,IBk,Undersampling,InfoGain,5,10,0.1905,0.7273,0.7814,0.2288,0.4621
AVRO,IBk,Undersampling,InfoGain,6,1,0.2432,0.8182,0.8545,0.3119,0.7273
AVRO,IBk,Undersampling,InfoGain,6,2,0.2128,0.9091,0.8746,0.2750,0.4545
AVRO,IBk,Undersampling,InfoGain,6,3,0.2059,0.7000,0.8244,0.2557,0.7000
AVRO,IBk,Undersampling,InfoGain,6,4,0.1343,0.8182,0.7556,0.1427,0.4545
AVRO,IBk,Undersampling,InfoGain,6,5,0.2292,1.0000,0.9159,0.3053,0.6364
AVRO,IBk,Undersampling,InfoGain,6,6,0.2000,0.8182,0.8500,0.2493,0.4545
AVRO,IBk,Undersampling,InfoGain,6,7,0.2340,1.0000,0.9306,0.3127,0.7613
AVRO,IBk,Undersampling,InfoGain,6,8,0.1915,0.8182,0.7811,0.2364,0.7273
AVRO,IBk,Undersampling,InfoGain,6,9,0.1887,0.9091,0.8660,0.2369,0.5455
AVRO,IBk,Undersampling,InfoGain,6,10,0.2051,0.7273,0.7998,0.2501,0.4307
AVRO,IBk,Undersampling,InfoGain,7,1,0.2683,1.0000,0.9412,0.3634,0.9024
AVRO,IBk,Undersampling,InfoGain,7,2,0.1961,0.9091,0.8393,0.2491,0.5455
AVRO,IBk,Undersampling,InfoGain,7,3,0.2143,0.9000,0.9055,0.2832,0.5000
AVRO,IBk,Undersampling,InfoGain,7,4,0.1860,0.7273,0.7097,0.2222,0.5455
AVRO,IBk,Undersampling,InfoGain,7,5,0.3143,1.0000,0.9301,0.4260,0.5493
AVRO,IBk,Undersampling,InfoGain,7,6,0.2326,0.9091,0.8382,0.3041,0.7273
AVRO,IBk,Undersampling,InfoGain,7,7,0.2439,0.9091,0.8904,0.3206,0.4545
AVRO,IBk,Undersampling,InfoGain,7,8,0.2558,1.0000,0.9298,0.3451,0.9091
